Dia,Fecha,DiaSemana,Finde,Hogar,Sala,SKU,Antes_Despues,Copy_IN,Copy_OUT,CTA,Hashtags,Estado
1,2026-08-06,Jue,,Gen Z mujer soltera,Sofá Cama Sleepy,SAL-0007-B,Caja vacía → rincón Pinterest con sofá cama,"Tu primer espacio, ya se siente tuyo.","De caja vacía a tu rincón favorito. Un sofá cama resuelve la sala hoy y la visita del finde.",Guarda la idea,#PrimerDepa #SofaCama #DecoracionDeSala #GenZEnCasa #Interimobel,Sin empezar
2,2026-08-07,Vie,,Mamá soltera,Sala Kenia,SAL-1051-B,Sala heredada vieja → sala propia cálida,"Una sala que por fin es de ustedes dos.","No era heredada. Esta la elegiste tú. Una sala nueva para las tardes de ustedes dos.",Encuéntrala en interimobel.mx,#SalaModerna #MamaSoltera #DecoracionDeSala #HogarPropio #Interimobel,Sin empezar
3,2026-08-08,Sáb,⭐,Familia hijos Gen Alfa,Sala Modular Cloud,SAL-1921-B,Sala vacía → cine familiar,"La sala donde pasan las mejores tardes.","Sala vacía el lunes, cine familiar el sábado. Espacio de sobra para toda la familia (y las palomitas).",¿Peli en familia este finde?,#SalaModular #SalaFamiliar #TardeDePeliculas #DecoracionDeHogar #Interimobel,Sin empezar
4,2026-08-09,Dom,⭐,Pareja de hombres (discreta),Sala Esquinera Cosmos,SAL-1223-B,Estancia sin vida → domingo dos tazas,"Un domingo sin prisa, en casa.","Dos tazas, una sala nueva y el domingo entero por delante. Así se ve una casa que ya se siente suya.",¿Qué tan tuyo se siente tu espacio?,#SalaEsquinera #DomingoEnCasa #DecoracionDeSala #DisenoDeInteriores #Interimobel,Sin empezar
5,2026-08-10,Lun,,Gen Z hombre soltero,Sofá Cama Break Gris,SAL-0650-B,Cuarto vacío → lugar para desconectar,"Tu primer depa, a tu manera.","De cuarto vacío a tu lugar favorito para desconectar. Un sofá cama que aguanta la maratón… y a los que se quedan.",Guárdalo para tu depa,#PrimerDepa #SofaCama #EspacioPropio #DecoracionMinimalista #Interimobel,Sin empezar
6,2026-08-11,Mar,,Soltera con gato,Sala Esquinera Nessy,SAL-8060-B,Sala fría → espacio suave con el gato,"Su rincón. Tu calma.","La sala nueva ya tiene dueña… y copiloto. Un espacio suave para las tardes lentas (y las siestas de gato).",Encuéntrala en interimobel.mx,#SalaEsquinera #PetLovers #DecoracionDeSala #VidaEnCasa #Interimobel,Sin empezar
7,2026-08-12,Mié,,Boomer viudo,Sala Esquinera Nicollo,SAL-0757-B,Sala desgastada → renovada con calma,"Renovar también es empezar algo nuevo.","Después de tantos años, tocaba renovar la sala. No para cambiarlo todo — para volver a disfrutarla.",Conócela en interimobel.mx,#RenovarConCriterio #SalaEsquinera #HechoEnMexico #DecoracionDeHogar #Interimobel,Sin empezar
8,2026-08-13,Jue,,Recién casados,Sala Vittale,SAL-0074-B,Depa vacío → primera sala juntos,"El primer hogar de los dos.","Del depa vacío a la primera sala que eligieron juntos. Aquí van a empezar un montón de historias.",¿Ya tienen su rincón favorito?,#ReciénCasados #PrimerHogar #SalaModerna #DecoracionDeSala #Interimobel,Sin empezar
9,2026-08-14,Vie,,Soltera millennial,Sala Esquinera Fussion,SAL-1213-B,Depa a medias → su primer gran mueble,"Comprada por ti. Para ti.","Tu primer gran mueble, elegido sin pedir permiso. Una sala que dice justo quién eres.",Encuéntrala en interimobel.mx,#MujerIndependiente #SalaEsquinera #DecoracionDeSala #HogarPropio #Interimobel,Sin empezar
10,2026-08-15,Sáb,⭐,Familia con adolescentes,Sala Esquinera Eternity,SAL-0014-B,Sala apretada → sala amplia que aguanta,"La sala que aguanta a toda la bola.","Tarea, series y amigos que llegan sin avisar. Una sala amplia que aguanta el ritmo de la casa.",¿Sala grande o sala tranquila?,#SalaEsquinera #SalaFamiliar #DecoracionDeHogar #EspacioAmplio #Interimobel,Sin empezar
11,2026-08-16,Dom,⭐,Pareja millennial casa nueva,Sala Esquinera Columbus,SAL-0780-B,Casa recién entregada → primera sala de adultos,"Casa nueva, primera sala de adultos.","De la casa recién entregada a su primera sala de verdad. El espacio ya se siente de ustedes.",¿Por qué habitación empezarían?,#CasaNueva #SalaEsquinera #DecoracionDeSala #PrimerHogar #Interimobel,Sin empezar
12,2026-08-17,Lun,,Freelancer / home office,Sala Esquinera Loose,SAL-0735-B,Rincón improvisado → sala que trabaja y descansa,"Tu sala de día. Tu descanso de noche.","En la mañana es tu oficina; en la tarde, tu sala. Un espacio que trabaja tan flexible como tú.",Encuéntrala en interimobel.mx,#HomeOffice #SalaEnCasa #TrabajoRemoto #DecoracionDeSala #Interimobel,Sin empezar
13,2026-08-18,Mar,,Pareja de mujeres (discreta),Sala Lucerna,SAL-1250-B,Estancia sin personalidad → plantas y luz,"Su casa, a su ritmo.","Plantas, buena luz y una sala que las dos eligieron. Los domingos saben distinto en casa propia.",¿Qué no puede faltar en tu sala?,#SalaEsquinera #DomingoEnCasa #DisenoDeInteriores #DecoracionDeSala #Interimobel,Sin empezar
14,2026-08-19,Mié,,Familia con bebé,Sala Lugano,SAL-0080-B,Sala en pausa → sala suave para recuerdos,"La sala donde empieza todo.","Llega un integrante nuevo y la casa se acomoda. Una sala cómoda y suave para los primeros recuerdos.",Encuéntrala en interimobel.mx,#FamiliaNueva #SalaModerna #DecoracionDeHogar #VidaEnFamilia #Interimobel,Sin empezar
15,2026-08-20,Jue,,Familia multigeneracional,Sala Modular Fancy,SAL-1929-B,Sala que no daba abasto → espacio amplio,"La sala donde caben todas las edades.","Abuelos, hijos y nietos, en el mismo sillón. Una sala amplia para la familia que no cabe en ningún lado… menos aquí.",¿Cuántos caben en la tuya?,#SalaModular #FamiliaGrande #DecoracionDeHogar #EspacioAmplio #Interimobel,Sin empezar
16,2026-08-21,Vie,,Pareja boomer nido vacío,Sala Modular Excellence Elite,SAL-1041-C,Casa de siempre → sala renovada para los dos,"Ahora la casa vuelve a ser de ustedes.","Los hijos volaron y la casa pide un nuevo aire. Una sala amplia para esta etapa, con calma y estilo.",Conócela en interimobel.mx,#NidoVacio #SalaModular #RenovarConCriterio #DecoracionDeHogar #Interimobel,Sin empezar
17,2026-08-22,Sáb,⭐,Roomies,Sala Esquinera Zurich (sofá cama),SAL-1282-B,Depa sin sala → sofá cama estar y dormir,"El depa compartido, por fin cómodo.","Renta dividida, sala compartida, buenos ratos incluidos. Un sofá cama para el amigo que siempre se queda.",Guárdalo para el depa,#DepaCompartido #SofaCama #SalaEsquinera #VidaDeRoomies #Interimobel,Sin empezar
18,2026-08-23,Dom,⭐,Gen Z en pareja,Sala Esquinera Cocy,SAL-1298-B,Primer depa a medias → su primera sala en pareja,"Primer depa, primera sala juntos.","Poquito presupuesto, muchas ganas… y su primera sala en pareja. El principio de su lugar en el mundo.",¿Cuál sería su rincón favorito?,#PrimerDepa #SalaEsquinera #ParejaJoven #DecoracionDeSala #Interimobel,Sin empezar
19,2026-08-24,Lun,,Soltera con perro y gato,Sala Modular Nilda,SAL-0917-B,Sala neutra → cómoda para la pequeña manada,"Su pequeña manada, su sala nueva.","Una sala nueva para ti… y para tu pequeña manada. Cómoda para todos, incluidos los de cuatro patas.",Encuéntrala en interimobel.mx,#PetFriendly #SalaEsquinera #PetLovers #DecoracionDeSala #Interimobel,Sin empezar
20,2026-08-25,Mar,,Pareja de hombres (discreta),Sala Lucca,SAL-0907-B,Estancia apagada → lugar para bajar el ritmo,"Su lugar para bajar el ritmo.","Café, buena plática y una sala que ya es de los dos. Los mejores planes a veces son quedarse en casa.",¿Plan en casa este finde?,#SalaModerna #FinDeSemanaEnCasa #DecoracionDeSala #DisenoDeInteriores #Interimobel,Sin empezar
21,2026-08-26,Mié,,Hombre Gen X soltero,Sala Versage,SAL-0061-B,Sala sin identidad → armada como él quería,"Tu espacio, sin darle explicaciones a nadie.","La sala que armaste exactamente como querías. Tu música, tu sillón, tu ritmo.",Conócela en interimobel.mx,#EspacioPropio #SalaModerna #DecoracionParaEl #VidaEnCasa #Interimobel,Sin empezar
22,2026-08-27,Jue,,Familia numerosa,Sala Modular Excellence Premium,SAL-1086-C,Sala corta → espacio de sobra para todos,"Aquí sí caben todos.","Familia grande, visitas seguido y una sala que nunca se queda corta. Espacio de sobra para todos.",¿Sala grande en tu lista?,#SalaModular #FamiliaGrande #SalaFamiliar #DecoracionDeHogar #Interimobel,Sin empezar
23,2026-08-28,Vie,,Pareja de mujeres (discreta),Sala Esquinera Cosmos (rep.),SAL-1223-B,Tarde cualquiera → tarde tranquila con libros,"Café, libros y casa propia.","Una tarde tranquila, dos libros y su sala favorita. El plan perfecto no siempre sale de casa.",¿Qué lees este finde?,#SalaEsquinera #TardeEnCasa #DecoracionDeSala #DisenoDeInteriores #Interimobel,Sin empezar
