Idea Paraguas,Mes,Semana,Segmento,Pilar,Canal,Formato,Pieza de Contenido,Estado,Notas
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 1,Segmento 3 - Renovación con Criterio,Quién es Interimobel hoy,Facebook/TikTok,Reel/TikTok 30-45s,"Historia de marca: ""25 años vistiendo hogares mexicanos"" con planta/manufactura si disponible",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 1,Segmento 1 - Primer Espacio Propio,Quién es Interimobel hoy,TikTok,TikTok 15-20s,"Reto ""amuebla tu depa con $15,000 MXN"" usando catálogo de entrada",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 2,Segmento 2 - Casa Nueva/Familia Joven,Quién es Interimobel hoy,Instagram,Carrusel 6-8 slides,"""Antes/después"" de una casa completa amueblada por Interimobel (sala+comedor+recámara)",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 2,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Quién es Interimobel hoy,Facebook,Post + foto,"Presentación de línea de salas reclinables y colchones Comfort Tech, tono cálido, CTA a WhatsApp",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 3,Todos los segmentos,Quién es Interimobel hoy,Instagram/Facebook,Historia,"Detrás de cámaras: ""así se fabrica"" (activo de manufactura nacional)",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 3,Segmento 3 - Renovación con Criterio,Quién es Interimobel hoy,Facebook,Testimonio en video,Cliente real hablando de durabilidad/calidad (mitigar hallazgo de reseñas mixtas sobre logística),Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 4,Segmento 1 - Primer Espacio Propio,Quién es Interimobel hoy,TikTok,TikTok trend/humor,"Participación en trend vigente adaptado: ""cosas que necesitas saber antes de amueblar tu primer depa""",Por hacer,
La Casa se Acomoda,Mes 1 (agosto 2026),Semana 4,Todos los segmentos,Quién es Interimobel hoy,Multicanal,Reel recap mensual,"Mosaico de las piezas más queridas del mes (""Los Vendidos"" como narrativa)",Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 1,Segmento 2 - Casa Nueva/Familia Joven,Vive tu espacio,Instagram,Carrusel + Reel,Línea Home Office para quien regresa a rutina híbrida (escritorios/sillas del catálogo),Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 1,Segmento 1 - Primer Espacio Propio,Vive tu espacio,TikTok,TikTok,"""3 combos de sala bajo $5,000""",Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 2,Segmento 3 - Renovación con Criterio,Vive tu espacio,Facebook,Reel comparativo,"""Cómo renovar solo tu comedor sin cambiar toda la casa""",Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 2,Segmento 4 - Cuando el Cuarto Cambia de Dueño,Vive tu espacio,Facebook,Live o video largo,Recorrido de sucursal con enfoque en piezas de comodidad,Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 3,Segmento 2 - Casa Nueva/Familia Joven,Vive tu espacio,TikTok,TikTok,Explicación simple de meses sin intereses con ejemplo de set de recámara completo,Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 3,Segmento 1 - Primer Espacio Propio,Vive tu espacio,Instagram,Reel,"Colaboración con micro-creador de contenido de ""primer depa""",Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 4,Todos los segmentos,Vive tu espacio,Instagram,Encuesta/Stories,"""¿Qué habitación renuevas primero?"" (insumo para segmentación mes 3)",Por hacer,
La Casa se Acomoda,Mes 2 (septiembre 2026),Semana 4,Segmento 3/4,Vive tu espacio,Facebook,Post,Reseña de cliente real + explicación clara de política de garantía/devoluciones,Por hacer,
La Casa se Acomoda,Mes 3 (octubre 2026),Semana 1,Segmento 2 - Casa Nueva/Familia Joven,Prepara tu casa,Instagram,Reel + Carrusel,"""Prepara tu comedor para las reuniones de fin de año"" (sets de comedor)",Por hacer,
